firmware_offset	source_file	source_line	length	string
0x00008a52	lib/EpdFont/FontDecompressor.cpp	69	33	Decompression failed for group %u
0x00008af6	lib/EpdFont/FontDecompressor.cpp	167	31	Glyph %u not found in any group
0x00008aa6	lib/EpdFont/FontDecompressor.cpp	358	52	Failed to allocate page buffer (%u bytes, %u glyphs)
0x00035be8	lib/EpdFont/SdCardFont.cpp	437	21	Failed to read header
0x00036676	lib/EpdFont/SdCardFontManager.cpp	57	17	Failed to load %s
0x00009189	lib/Epub/Epub.cpp	16	22	META-INF/container.xml
0x000091b7	lib/Epub/Epub.cpp	16	22	META-INF/container.xml
0x000091de	lib/Epub/Epub.cpp	16	22	META-INF/container.xml
0x000091a0	lib/Epub/Epub.cpp	21	45	Could not find or size META-INF/container.xml
0x000091cf	lib/Epub/Epub.cpp	33	37	Could not read META-INF/container.xml
0x000091f6	lib/Epub/Epub.cpp	39	46	Could not find valid rootfile in container.xml
0x00009226	lib/Epub/Epub.cpp	50	33	Could not find content.opf in zip
0x00009249	lib/Epub/Epub.cpp	60	33	Could not get size of content.opf
0x0000926c	lib/Epub/Epub.cpp	66	34	Could not setup content.opf parser
0x00009290	lib/Epub/Epub.cpp	71	26	Could not read content.opf
0x00009b7d	lib/Epub/Epub.cpp	100	12	"xlink:href="""
0x0006ebfd	lib/Epub/Epub/BookMetadataCache.cpp	14	14	/spine.bin.tmp
0x0006ebf0	lib/Epub/Epub/BookMetadataCache.cpp	15	12	/toc.bin.tmp
0x00009eec	lib/Epub/Epub/BookMetadataCache.cpp	175	45	Could not open EPUB zip for size calculations
0x00009f44	lib/Epub/Epub/BookMetadataCache.cpp	248	46	Warning: Could not get size for spine item: %s
0x00009cdc	lib/Epub/Epub/BookMetadataCache.cpp	405	41	getSpineEntry called but cache not loaded
0x00009d07	lib/Epub/Epub/BookMetadataCache.cpp	410	35	getSpineEntry index %d out of range
0x00009d64	lib/Epub/Epub/BookMetadataCache.cpp	424	39	getTocEntry called but cache not loaded
0x00009d8d	lib/Epub/Epub/BookMetadataCache.cpp	429	33	getTocEntry index %d out of range
0x0000abe4	lib/Epub/Epub/Page.cpp	121	24	Failed to write footnote
0x0000ac1c	lib/Epub/Epub/Page.cpp	152	38	Deserialization failed: Unknown tag %u
0x0000ac44	lib/Epub/Epub/Page.cpp	161	25	Invalid footnote count %u
0x0000ac5f	lib/Epub/Epub/Page.cpp	169	26	Failed to read footnote %u
0x0000ace4	lib/Epub/Epub/Section.cpp	28	33	File not open for writing page %d
0x0000ad07	lib/Epub/Epub/Section.cpp	34	27	Failed to serialize page %d
0x0000aded	lib/Epub/Epub/Section.cpp	91	42	Deserialization failed: Unknown version %u
0x0000ae19	lib/Epub/Epub/Section.cpp	122	47	Deserialization failed: Parameters do not match
0x0000901e	lib/Epub/Epub/Section.cpp	143	21	Failed to clear cache
0x000313eb	lib/Epub/Epub/Section.cpp	143	21	Failed to clear cache
0x0000afaa	lib/Epub/Epub/Section.cpp	196	57	Failed to stream item contents to temp file after retries
0x0000b0cf	lib/Epub/Epub/Section.cpp	219	29	Failed to load CSS from cache
0x0000b0ee	lib/Epub/Epub/Section.cpp	236	35	Failed to parse XML and build pages
0x0000b14a	lib/Epub/Epub/Section.cpp	258	49	Failed to write LUT due to invalid page positions
0x00037a32	lib/Epub/Epub/Section.h	32	10	/sections/
0x00031a43	lib/Epub/Epub/blocks/BlockStyle.h	116	12	Book's Style
0x0000b249	lib/Epub/Epub/blocks/ImageBlock.cpp	47	40	Cache dimension mismatch: %dx%d vs %dx%d
0x00008f9f	lib/Epub/Epub/blocks/ImageBlock.cpp	62	29	Failed to allocate row buffer
0x0000b273	lib/Epub/Epub/blocks/ImageBlock.cpp	71	26	Cache read error at row %d
0x0000b202	lib/Epub/Epub/blocks/ImageBlock.cpp	102	60	Invalid render position: (%d,%d) size (%dx%d) screen (%dx%d)
0x0000b28f	lib/Epub/Epub/blocks/ImageBlock.cpp	117	24	Image file not found: %s
0x0000b2a9	lib/Epub/Epub/blocks/ImageBlock.cpp	124	23	Image file is empty: %s
0x0000b2c2	lib/Epub/Epub/blocks/ImageBlock.cpp	143	30	No decoder found for image: %s
0x0000b2e2	lib/Epub/Epub/blocks/ImageBlock.cpp	151	26	Failed to decode image: %s
0x0000b3bf	lib/Epub/Epub/blocks/TextBlock.cpp	127	53	Deserialization failed: word count %u exceeds maximum
0x0000b2c2	lib/Epub/Epub/converters/ImageDecoderFactory.cpp	38	30	No decoder found for image: %s
0x0000b3fa	lib/Epub/Epub/converters/ImageToFramebufferDecoder.cpp	7	64	Image too large (%dx%d = %d pixels %s), max supported: %d pixels
0x0000b43c	lib/Epub/Epub/converters/ImageToFramebufferDecoder.cpp	15	81	Warning: Unsupported feature '%s' in image '%s'. Image may not display correctly.
0x00008d74	lib/Epub/Epub/converters/JpegToFramebufferConverter.cpp	348	51	Not enough heap for JPEG decoder (%u free, need %u)
0x0000b48f	lib/Epub/Epub/converters/JpegToFramebufferConverter.cpp	354	46	Failed to allocate JPEG decoder for dimensions
0x0000b4bf	lib/Epub/Epub/converters/JpegToFramebufferConverter.cpp	361	47	Failed to open JPEG for dimensions (err=%d): %s
0x00008da9	lib/Epub/Epub/converters/JpegToFramebufferConverter.cpp	384	31	Failed to allocate JPEG decoder
0x0000b48f	lib/Epub/Epub/converters/JpegToFramebufferConverter.cpp	384	31	Failed to allocate JPEG decoder
0x0000b4f0	lib/Epub/Epub/converters/JpegToFramebufferConverter.cpp	397	32	Failed to open JPEG (err=%d): %s
0x0000b512	lib/Epub/Epub/converters/JpegToFramebufferConverter.cpp	405	30	Invalid JPEG dimensions: %dx%d
0x00000750	lib/Epub/Epub/converters/JpegToFramebufferConverter.cpp	476	59	Failed to allocate cache buffer, continuing without caching
0x0000b569	lib/Epub/Epub/converters/JpegToFramebufferConverter.cpp	476	59	Failed to allocate cache buffer, continuing without caching
0x0000b5a6	lib/Epub/Epub/converters/JpegToFramebufferConverter.cpp	486	35	Decode failed (rc=%d, lastError=%d)
0x0000b532	lib/Epub/Epub/converters/PixelCache.h	34	53	Cache buffer too large: %d bytes for %dx%d (limit %d)
0x000007a8	lib/Epub/Epub/converters/PixelCache.h	61	41	Failed to open cache file for writing: %s
0x0000b5cb	lib/Epub/Epub/converters/PixelCache.h	61	41	Failed to open cache file for writing: %s
0x00000540	lib/Epub/Epub/converters/PngToFramebufferConverter.cpp	245	50	Not enough heap for PNG decoder (%u free, need %u)
0x00000578	lib/Epub/Epub/converters/PngToFramebufferConverter.cpp	251	45	Failed to allocate PNG decoder for dimensions
0x000005a8	lib/Epub/Epub/converters/PngToFramebufferConverter.cpp	260	37	Failed to open PNG for dimensions: %d
0x00000578	lib/Epub/Epub/converters/PngToFramebufferConverter.cpp	283	30	Failed to allocate PNG decoder
0x00000604	lib/Epub/Epub/converters/PngToFramebufferConverter.cpp	283	30	Failed to allocate PNG decoder
0x00000624	lib/Epub/Epub/converters/PngToFramebufferConverter.cpp	297	22	Failed to open PNG: %d
0x0000063c	lib/Epub/Epub/converters/PngToFramebufferConverter.cpp	333	99	PNG row buffer too small: need %d bytes for width=%d type=%d, configured PNG_MAX_BUFFERED_PIXELS=%d
0x000006a4	lib/Epub/Epub/converters/PngToFramebufferConverter.cpp	335	56	Aborting decode to avoid PNGdec internal buffer overflow
0x000006fc	lib/Epub/Epub/converters/PngToFramebufferConverter.cpp	340	11	bit depth (
0x00000728	lib/Epub/Epub/converters/PngToFramebufferConverter.cpp	347	35	Failed to allocate gray line buffer
0x00000750	lib/Epub/Epub/converters/PngToFramebufferConverter.cpp	363	59	Failed to allocate cache buffer, continuing without caching
0x0000b569	lib/Epub/Epub/converters/PngToFramebufferConverter.cpp	363	59	Failed to allocate cache buffer, continuing without caching
0x00000790	lib/Epub/Epub/converters/PngToFramebufferConverter.cpp	376	17	Decode failed: %d
0x0000b73c	lib/Epub/Epub/css/CssParser.cpp	56	10	!important
0x0000b65d	lib/Epub/Epub/css/CssParser.cpp	273	10	text-align
