string_addr	string	referencing_function_addr	function_name
42005da4	"/.pio/libdeps/gh_release/NimBLE-Arduino/src/nimble/nimble/host/src/ble_hs.c"		
42014a38	"Games and daily challenge"		
4201d504	"Godkendt!"		
42020c44	"Svuota cache di lettura"		
4202ba5c	"amento entre linhas"		
4202ba5c	"amento entre linhas"		
4202f27c	"30 pages"		
4202f27c	"30 pages"		
4202f27c	"30 pages"		
420354c8	"frontlightCool"		
420358a8	"recentSleepFill"		
42037070	"ArcadeChallenges"		
420370fc	"# . .@ #"		
42038038	"KOReaderAuth"		
42038038	"KOReaderAuth"		
4203eb14	"E (%lu) %s: %s(%d): task is already subscribed\n"		
